sid,name,addr
134,7-ELEVEN(文林)(240950),台北市士林區大北路14號16號1樓
135,7-ELEVEN(承富)(254409),台北市士林區承德路四段39號
136,7-ELEVEN(華齡)(153261),台北市士林區華齡街17巷2號4號1樓
137,7-ELEVEN(豫鋒)(988326),台北市士林區大南路322號
138,7-ELEVEN(上饌)(208853),台北市士林區基河路125號127號
139,7-ELEVEN(社中)(992945),台北市士林區社中街320號322號1樓
140,7-ELEVEN(福氣)(170130),台北市士林區延平北路六段122號124號1樓
141,7-ELEVEN(永倫)(228592),台北市士林區社中街381號1樓
142,7-ELEVEN(圓泉)(120526),台北市大同區酒泉街25號27號1樓
143,7-ELEVEN(丹樺)(148524),台北市士林區文林路530號
144,7-ELEVEN(豐基)(253288),台北市士林區基河路368號370號
146,7-ELEVEN(珍饌)(195900),台北市士林區文林路126號1樓
147,7-ELEVEN(福志)(890900),台北市士林區雨農路25號
148,7-ELEVEN(新福慶)(266310),台北市士林區基河路1號1樓(部份)
149,7-ELEVEN(聚鑫)(997571),台北市士林區延平北路六段350號350之1號1樓
150,7-ELEVEN(福鑫)(237840),台北市士林區中正路324號
151,7-ELEVEN(大饌)(184508),台北市士林區大東路35號1樓
152,7-ELEVEN(湧久)(238038),台北市大同區延平北路四段157號159號
153,7-ELEVEN(新文)(957366),台北市士林區文昌路64號
154,7-ELEVEN(草山)(960775),台北市士林區格致路28號
155,7-ELEVEN(哈蜜)(241171),台北市大同區重慶北路三段309、311號1樓
156,7-ELEVEN(新國聯)(252827),台北市大安區光復南路180巷12號
157,7-ELEVEN(復忠)(182258),台北市大安區光復南路98之3號98之5號
158,7-ELEVEN(鑫富民)(241573),台北市大安區忠孝東路四段181巷40弄22號1樓
159,7-ELEVEN(松機)(248699),台北市松山區敦化北路340之10號1樓
160,7-ELEVEN(敦北)(254649),台北市松山區敦化北路149號1樓
161,7-ELEVEN(頂安)(241193),台北市大安區大安路一段67號1樓
162,7-ELEVEN(塔優)(250647),台北市松山區撫遠街197號199號
164,7-ELEVEN(京運)(209100),台北市松山區南京東路三段262號1樓
165,7-ELEVEN(延新)(249935),台北市松山區延壽街99號1樓
166,7-ELEVEN(江陵)(263506),台北市中山區一江街23號1樓
167,7-ELEVEN(國京)(240754),台北市中山區南京東路三段21號1樓
168,7-ELEVEN(潤泰)(213589),台北市中山區八德路二段314號
170,7-ELEVEN(行天)(197191),台北市中山區農安街178號180號
171,7-ELEVEN(福權)(121655),台北市中山區民權東路二段96號98號1樓
172,7-ELEVEN(國學)(186559),台北市中山區長春路182號
173,7-ELEVEN(佳佳)(266745),台北市中山區民生東路二段157號
174,7-ELEVEN(國旺)(262536),台北市中山區南京東路一段132巷8號
175,7-ELEVEN(三玉)(174028),台北市士林區天母東路88之1號1樓
176,7-ELEVEN(德誠)(251293),台北市士林區德行東路106號108號1樓
177,7-ELEVEN(鑫成)(193731),台北市士林區至誠路二段82號1樓
178,7-ELEVEN(榮陽)(230816),台北市北投區西安街一段345號1樓
179,7-ELEVEN(福芝)(896160),台北市士林區福國路94號
180,7-ELEVEN(齊德)(210823),台北市士林區天母西路85號1樓2樓
181,7-ELEVEN(明華)(241403),台北市北投區明德路99號
